调入
公告日,实施日,证券代码,证券名称
2024-11-29,2024-12-13,001965,招商公路
2024-11-29,2024-12-13,002128,电投能源
2024-11-29,2024-12-13,002318,久立特材
2024-11-29,2024-12-13,300114,中航电测
2024-11-29,2024-12-13,300476,胜宏科技
2024-11-29,2024-12-13,600315,上海家化
2024-11-29,2024-12-13,600335,国机汽车
2024-11-29,2024-12-13,600487,亨通光电
2024-11-29,2024-12-13,601000,唐山港
2024-11-29,2024-12-13,601018,宁波港
2024-11-29,2024-12-13,601127,赛力斯
2024-11-29,2024-12-13,601179,中国西电
2024-11-29,2024-12-13,601567,三星医疗
2024-11-29,2024-12-13,603087,甘李药业
2024-11-29,2024-12-13,603979,金诚信
2024-11-29,2024-12-13,605499,东鹏饮料
2024-11-29,2024-12-13,688047,龙芯中科
2024-11-29,2024-12-13,688120,华海清科
2024-11-29,2024-12-13,688180,君实生物
2024-11-29,2024-12-13,688235,百济神州
2024-11-29,2024-12-13,688256,寒武纪
2025-05-30,2025-06-13,000032,深桑达A
2025-05-30,2025-06-13,000426,兴业银锡
2025-05-30,2025-06-13,000563,陕国投A
2025-05-30,2025-06-13,002130,沃尔核材
2025-05-30,2025-06-13,002155,湖南黄金
2025-05-30,2025-06-13,002244,滨江集团
2025-05-30,2025-06-13,002595,豪迈科技
2025-05-30,2025-06-13,300442,润泽科技
2025-05-30,2025-06-13,300757,罗博特科
2025-05-30,2025-06-13,301358,湖南裕能
2025-05-30,2025-06-13,301381,赛维时代
2025-05-30,2025-06-13,600208,衢州发展
2025-05-30,2025-06-13,600312,平高电气
2025-05-30,2025-06-13,600511,国药股份
2025-05-30,2025-06-13,600864,哈投股份
2025-05-30,2025-06-13,605589,圣泉集团
2025-05-30,2025-06-13,688213,思特威
2025-05-30,2025-06-13,688266,泽璟制药
2025-05-30,2025-06-13,688506,百利天恒
2025-05-30,2025-06-13,688578,艾力斯
2025-05-30,2025-06-13,688608,恒玄科技
2025-11-28,2025-12-12,002701,奥瑞金
2025-11-28,2025-12-12,002837,英维克
2025-11-28,2025-12-12,002851,麦格米特
2025-11-28,2025-12-12,002891,中宠股份
2025-11-28,2025-12-12,300083,创世纪
2025-11-28,2025-12-12,300748,金力永磁
2025-11-28,2025-12-12,300803,指南针
2025-11-28,2025-12-12,300972,万辰集团
2025-11-28,2025-12-12,600079,人福医药
2025-11-28,2025-12-12,600157,永泰能源
2025-11-28,2025-12-12,600522,中天科技
2025-11-28,2025-12-12,600580,卧龙电驱
2025-11-28,2025-12-12,600673,东阳光
2025-11-28,2025-12-12,600816,建元信托
2025-11-28,2025-12-12,601211,国泰海通
2025-11-28,2025-12-12,688017,绿的谐波
2025-11-28,2025-12-12,688065,凯赛生物
2025-11-28,2025-12-12,688166,博瑞医药
2025-11-28,2025-12-12,688472,阿特斯
2025-11-28,2025-12-12,688521,芯原股份
2026-01-06,2026-01-09,688114,华大智造

调出
公告日,实施日,证券代码,证券名称
2024-11-29,2024-12-13,000591,太阳能
2024-11-29,2024-12-13,000690,宝新能源
2024-11-29,2024-12-13,002080,中材科技
2024-11-29,2024-12-13,002123,梦网科技
2024-11-29,2024-12-13,002192,融捷股份
2024-11-29,2024-12-13,002212,天融信
2024-11-29,2024-12-13,002304,洋河股份
2024-11-29,2024-12-13,002396,星网锐捷
2024-11-29,2024-12-13,002511,中顺洁柔
2024-11-29,2024-12-13,002602,ST华通
2024-11-29,2024-12-13,002791,坚朗五金
2024-11-29,2024-12-13,300133,华策影视
2024-11-29,2024-12-13,301558,三态股份
2024-11-29,2024-12-13,600157,永泰能源
2024-11-29,2024-12-13,600959,江苏有线
2024-11-29,2024-12-13,603156,养元饮品
2024-11-29,2024-12-13,603236,移远通信
2024-11-29,2024-12-13,603444,吉比特
2024-11-29,2024-12-13,603737,三棵树
2024-11-29,2024-12-13,688536,思瑞浦
2024-11-29,2024-12-13,688598,金博股份
2025-05-30,2025-06-13,002081,金螳螂
2025-05-30,2025-06-13,002151,北斗星通
2025-05-30,2025-06-13,002240,盛新锂能
2025-05-30,2025-06-13,002268,电科网安
2025-05-30,2025-06-13,002368,太极股份
2025-05-30,2025-06-13,002541,鸿路钢构
2025-05-30,2025-06-13,300212,易华录
2025-05-30,2025-06-13,300595,欧普康视
2025-05-30,2025-06-13,300999,金龙鱼
2025-05-30,2025-06-13,600027,华电国际
2025-05-30,2025-06-13,600167,联美控股
2025-05-30,2025-06-13,600399,抚顺特钢
2025-05-30,2025-06-13,600755,厦门国贸
2025-05-30,2025-06-13,600771,广誉远
2025-05-30,2025-06-13,600816,建元信托
2025-05-30,2025-06-13,600884,杉杉股份
2025-05-30,2025-06-13,603290,斯达半导
2025-05-30,2025-06-13,603456,九洲药业
2025-05-30,2025-06-13,603588,高能环境
2025-05-30,2025-06-13,603688,石英股份
2025-05-30,2025-06-13,603882,金域医学
2025-11-28,2025-12-12,000563,陕国投A
2025-11-28,2025-12-12,002372,伟星新材
2025-11-28,2025-12-12,002439,启明星辰
2025-11-28,2025-12-12,002508,老板电器
2025-11-28,2025-12-12,002831,裕同科技
2025-11-28,2025-12-12,300182,捷成股份
2025-11-28,2025-12-12,300296,利亚德
2025-11-28,2025-12-12,300315,掌趣科技
2025-11-28,2025-12-12,300769,德方纳米
2025-11-28,2025-12-12,301381,赛维时代
2025-11-28,2025-12-12,600129,太极集团
2025-11-28,2025-12-12,600131,国网信通
2025-11-28,2025-12-12,600188,兖矿能源
2025-11-28,2025-12-12,600315,上海家化
2025-11-28,2025-12-12,600335,国机汽车
2025-11-28,2025-12-12,600919,江苏银行
2025-11-28,2025-12-12,601636,旗滨集团
2025-11-28,2025-12-12,603000,人民网
2025-11-28,2025-12-12,603613,国联股份
2025-11-28,2025-12-12,605358,立昂微
2026-01-06,2026-01-09,600079,ST人福
