调入
公告日,实施日,证券代码,证券名称
2021-05-28,2021-06-11,0267.HK,中信股份
2021-05-28,2021-06-11,0968.HK,信义光能
2021-05-28,2021-06-11,1209.HK,华润万象生活
2021-05-28,2021-06-11,1211.HK,比亚迪股份
2021-05-28,2021-06-11,1801.HK,信达生物
2021-05-28,2021-06-11,6618.HK,京东健康
2021-05-28,2021-06-11,6666.HK,恒大物业
2021-05-28,2021-06-11,9633.HK,农夫山泉
2021-05-28,2021-06-11,9698.HK,万国数据-SW
2021-05-28,2021-06-11,9992.HK,泡泡玛特
2021-05-28,2021-06-11,0004.HK,九龙仓集团
2021-05-28,2021-06-11,0005.HK,汇丰控股
2021-05-28,2021-06-11,0011.HK,恒生银行
2021-05-28,2021-06-11,0017.HK,新世界发展
2021-05-28,2021-06-11,0027.HK,银河娱乐
2021-05-28,2021-06-11,0135.HK,昆仑能源
2021-05-28,2021-06-11,0992.HK,联想集团
2021-05-28,2021-06-11,1299.HK,友邦保险
2021-05-28,2021-06-11,1997.HK,九龙仓置业
2021-05-28,2021-06-11,2269.HK,药明生物
2021-05-28,2021-06-11,2388.HK,中银香港
2021-05-28,2021-06-11,6969.HK,思摩尔国际
2021-05-28,2021-06-11,9618.HK,京东集团-SW
2021-05-28,2021-06-11,9999.HK,网易-S
2021-11-26,2021-12-10,0868.HK,信义玻璃
2021-11-26,2021-12-10,1876.HK,百威亚太
2021-11-26,2021-12-10,2618.HK,京东物流
2021-11-26,2021-12-10,3692.HK,翰森制药
2021-11-26,2021-12-10,6160.HK,百济神州
2021-11-26,2021-12-10,9626.HK,哔哩哔哩-SW
2021-11-26,2021-12-10,9888.HK,百度集团-SW
2021-11-26,2021-12-10,9901.HK,新东方-S
2021-11-26,2021-12-10,0001.HK,长和
2021-11-26,2021-12-10,0002.HK,中电控股
2021-11-26,2021-12-10,0003.HK,香港中华煤气
2021-11-26,2021-12-10,0006.HK,电能实业
2021-11-26,2021-12-10,0151.HK,中国旺旺
2021-11-26,2021-12-10,0386.HK,中国石油化工股份
2021-11-26,2021-12-10,0586.HK,海螺创业
2021-11-26,2021-12-10,0823.HK,领展房产基金
2021-11-26,2021-12-10,0857.HK,中国石油股份
2021-11-26,2021-12-10,0883.HK,中国海洋石油
2021-11-26,2021-12-10,1113.HK,长实集团
2021-11-26,2021-12-10,1193.HK,华润燃气
2021-11-26,2021-12-10,1658.HK,邮储银行
2021-11-26,2021-12-10,3328.HK,交通银行
2021-11-26,2021-12-10,3988.HK,中国银行
2021-11-26,2021-12-10,1209.HK,华润万象生活
2021-11-26,2021-12-10,6618.HK,京东健康
2021-11-26,2021-12-10,6666.HK,恒大物业
2021-11-26,2021-12-10,6993.HK,蓝月亮集团
2021-11-26,2021-12-10,9633.HK,农夫山泉
2021-11-26,2021-12-10,9698.HK,万国数据-SW
2021-11-26,2021-12-10,9992.HK,泡泡玛特
2022-05-27,2022-06-10,9961.HK,携程集团-S
2022-05-27,2022-06-10,9868.HK,小鹏汽车-W
2022-05-27,2022-06-10,2015.HK,理想汽车-W
2022-05-27,2022-06-10,1929.HK,周大福
2022-05-27,2022-06-10,1378.HK,中国宏桥
2022-05-27,2022-06-10,1038.HK,长江基建集团
2022-05-27,2022-06-10,0486.HK,俄铝
2022-05-27,2022-06-10,0316.HK,东方海外国际
2022-05-27,2022-06-10,0012.HK,恒基地产
2022-05-27,2022-06-10,9999.HK,网易-S
2022-05-27,2022-06-10,9633.HK,农夫山泉
2022-05-27,2022-06-10,9618.HK,京东集团-SW
2022-05-27,2022-06-10,1398.HK,工商银行
2022-05-27,2022-06-10,1288.HK,农业银行
2022-05-27,2022-06-10,1109.HK,华润置地
2022-05-27,2022-06-10,1093.HK,石药集团
2022-05-27,2022-06-10,0968.HK,信义光能
2022-05-27,2022-06-10,0960.HK,龙湖集团
2022-05-27,2022-06-10,0941.HK,中国移动
